month,train_start,model_fit_end,train_rows,gate_label_end,test_rows,converged,gmm_converged,hmm_train_min_occupancy,gmm_train_min_occupancy,hmm_mean_max_probability,gmm_mean_max_probability,hmm_seed_ari,gmm_seed_ari,trend_allowed_states,reversion_allowed_states,gmm_trend_allowed_states,gmm_reversion_allowed_states,hmm_retraining_ari,gmm_retraining_ari,retraining_stability_status
2025-11-01T00:00:00+00:00,2023-11-02T00:00:00+00:00,2025-10-31T23:00:00+00:00,17519,2025-10-31T23:00:00+00:00,720,True,True,0.18688281294594442,0.18271590844226268,0.9665580743189806,0.9305822850088861,0.6289722808343178,0.9983331004633259,bull_trend|quiet_range|stress_proxy,stress_proxy|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend|volatile_transition,0.33354768608086216,0.7294022523505147,ok
2025-12-01T00:00:00+00:00,2023-12-02T00:00:00+00:00,2025-11-30T23:00:00+00:00,17519,2025-11-30T23:00:00+00:00,744,True,True,0.1955591072549803,0.14761116502083452,0.9565089731656985,0.8912174444537002,0.6751041022728785,0.993271637905524,bear_stress|bull_trend|quiet_range,volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend|volatile_transition,0.9739307239247509,0.542599584066235,ok
2026-01-01T00:00:00+00:00,2024-01-02T00:00:00+00:00,2025-12-31T23:00:00+00:00,17519,2025-12-31T23:00:00+00:00,744,True,True,0.1503510474342143,0.14390090758604943,0.9730708766343984,0.9299717114337344,0.4028773673341009,0.999469515733603,bull_trend|quiet_range,bull_trend|quiet_range|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,0.6020316447051628,0.9297911203568483,ok
2026-02-01T00:00:00+00:00,2024-02-02T00:00:00+00:00,2026-01-31T23:00:00+00:00,17519,2026-01-31T23:00:00+00:00,672,True,True,0.19173468805297106,0.15206347394257663,0.9724222382473309,0.949249058832744,0.9926090670827724,1.0,bear_stress|quiet_range|volatile_transition,quiet_range|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|volatile_transition,0.294211316901374,0.9631784765979081,ok
2026-03-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,2026-02-28T23:00:00+00:00,17519,2026-02-28T23:00:00+00:00,744,True,True,0.196072835207489,0.16153890062218162,0.9541593755432843,0.8979116762124768,0.7152485969024369,1.0,bull_trend,bull_trend|volatile_transition,bull_trend|quiet_range|volatile_transition,bear_stress|bull_trend|volatile_transition,0.8532163131850042,0.9607661062491787,ok
2026-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,2026-03-31T23:00:00+00:00,17519,2026-03-31T23:00:00+00:00,720,True,True,0.1674753125178378,0.1571436725840516,0.950479017470931,0.9327506251304425,0.5317896645911089,0.9998454432580156,bear_stress|quiet_range,bear_stress|bull_trend,quiet_range,bear_stress|bull_trend|volatile_transition,0.4796837414569936,0.9203350999984795,ok
2026-05-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,2026-04-30T23:00:00+00:00,17519,2026-04-30T23:00:00+00:00,744,True,True,0.15959815057937096,0.14310177521548034,0.9683363563438856,0.9520453516199402,0.8550705306246931,0.9935849618274726,bear_stress|bull_trend,bull_trend|volatile_transition,quiet_range,bull_trend|volatile_transition,0.6847511676073968,0.9407251679076003,ok
2026-06-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,2026-05-31T23:00:00+00:00,17519,2026-05-31T23:00:00+00:00,720,True,True,0.16673326103088076,0.14624122381414464,0.9692240663925514,0.9413599437501937,0.9760000250763977,1.0,bull_trend,bear_stress|bull_trend|volatile_transition,quiet_range,bear_stress|bull_trend|volatile_transition,0.740158733318966,0.9800671472688834,ok
2026-07-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,2026-06-30T23:00:00+00:00,17519,2026-06-30T23:00:00+00:00,744,True,True,0.1699868713967692,0.14858154004223986,0.9627198108953893,0.9225041155691969,1.0,0.9997149567289606,bull_trend,bear_stress|bull_trend|volatile_transition,quiet_range,bull_trend|volatile_transition,0.9525884714104214,0.8595156519817786,ok
2026-08-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,2026-07-31T23:00:00+00:00,17519,2026-07-31T23:00:00+00:00,384,True,True,0.16222387122552656,0.1460699811633084,0.9820082959698911,0.927112094677713,0.9979307240329877,1.0,bull_trend,bear_stress|bull_trend|volatile_transition,bear_stress|quiet_range,bear_stress|bull_trend|volatile_transition,0.9107589833944969,0.9759910692394784,ok
